Distribuição por percentis do Fator Dinamismo Relativo (FDR) registado nos municípios, 2017;;;;;;;;
;;;;;;;;
Percentis;;;Fator Dinamismo Relativo;;Percentis;;;Fator Dinamismo Relativo
;;;Albufeira;;;83;;
;;;Lagos;;;;;Boticas
;;;Loulé;;;;;Santa Cruz
;99;;Vila do Bispo;;;82;;Vila Nova de Cerveira
;;;Aljezur;;;;;Armamar
;;;Lagoa;;;;;Celorico da Beira
;98;;Tavira;;;81;;Esposende
;;;Castro Marim;;;;;Ferreira do Zêzere
;;;Grândola;;;;;Valpaços
;97;;Portimão;;;80;;Vila Nova de Poiares
;;;Nazaré;;;;;Figueira da Foz
;;;Óbidos;;;;;Mondim de Basto
;96;;Vila Real de Santo António;;;79;;Vila Nova de Paiva
;;;Lisboa;;;;;Alcoutim
;;;Porto Moniz;;;;;Figueiró dos Vinhos
;95;;Silves;;;78;;Ribeira de Pena
;;;Cascais;;;;;Arganil
;;;Monchique;;;;;Pombal
;94;;São Brás de Alportel;;;77;;Santa Comba Dão
;;;Caminha;;;;;Cabeceiras de Basto
;;;Olhão;;;;;Manteigas
;93;;Porto Santo;;;76;;Vila Pouca de Aguiar
;;;Calheta (R.A.M.);;;;;Moimenta da Beira
;;;Peniche;;;;;Sabrosa
;92;;Povoação;;;75;;Vila Franca do Campo
;;;Melgaço;;;;;Penamacor
;;;Odemira;;;;;Póvoa de Varzim
;91;;Ponte da Barca;;;74;;Sousel
;;;Funchal;;;;;Amares
;;;São Vicente;;;;;Castanheira de Pêra
;90;;Sesimbra;;;73;;Meda
;;;Alcácer do Sal;;;;;Corvo
;;;Ponta do Sol;;;;;Tabuaço
;89;;Porto;;;72;;Vagos
;;;Monção;;;;;Góis
;;;Ourém;;;;;Nordeste
;88;;Valença;;;;;Paredes de Coura
;;;Faro;;;71;;Sátão
;;;Mafra;;;;;Cantanhede
;87;;Sabugal;;;;;Ponte de Lima
;;;Almeida;;;70;;Ribeira Brava
;;;Póvoa de Lanhoso;;;;;Ansião
;86;;Santana;;;;;Carrazeda de Ansiães
;;;Arcos de Valdevez;;;69;;Ourique
;;;Idanha-a-Nova;;;;;Belmonte
;;;Mira;;;;;Penedono
;85;;Montalegre;;;68;;Vila do Conde
;;;Alijó;;;;;Fundão
;;;Lourinhã;;;;;Lajes das Flores
;84;;Terras de Bouro;;;67;;Vieira do Minho
;;;Marvão;;;;;Alandroal
;;;Murtosa;;;;;Chaves
;83;;Pedrógão Grande;;;66;;Miranda do Douro
;;;;;;;;
;;;;;;;;
Percentis;;;Fator Dinamismo Relativo;;Percentis;;;Fator Dinamismo Relativo
;66;;;;;49;;
;;;Alcobaça;;;;;Alcanena
;;;Carregal do Sal;;;;;Penela
;65;;Portel;;;48;;Sertã
;;;Aguiar da Beira;;;;;Loures
;;;Fornos de Algodres;;;;;São Pedro do Sul
;64;;Vila Nova de Foz Côa;;;47;;Vidigueira
;;;Celorico de Basto;;;;;Arouca
;;;Ferreira do Alentejo;;;;;Ílhavo
;63;;Trancoso;;;46;;Viseu
;;;Mealhada;;;;;Cadaval
;;;Mortágua;;;;;Cinfães
;62;;Vila Verde;;;45;;Nisa
;;;Câmara de Lobos;;;;;Batalha
;;;Vila Flor;;;;;Figueira de Castelo Rodrigo
;61;;Vimioso;;;44;;Pampilhosa da Serra
;;;Azambuja;;;;;Coruche
;;;Sernancelhe;;;;;Lajes do Pico
;60;;Tarouca;;;43;;Oleiros
;;;Alvaiázere;;;;;Crato
;;;Bombarral;;;;;Santa Marta de Penaguião
;59;;Torre de Moncorvo;;;;;Tondela
;;;Mértola;;;42;;Vouzela
;;;Murça;;;;;Arraiolos
;58;;Resende;;;;;Mogadouro
;;;Calheta (R.A.A.);;;41;;Santa Cruz da Graciosa
;;;Gouveia;;;;;Lamego
;;;São João da Pesqueira;;;;;Peso da Régua
;57;;Tábua;;;40;;Setúbal
;;;Caldas da Rainha;;;;;Montemor-o-Velho
;;;Madalena;;;;;Nelas
;56;;Vinhais;;;39;;Ovar
;;;Freixo de Espada à Cinta;;;;;Alcochete
;;;Machico;;;;;Alfândega da Fé
;55;;Oliveira do Hospital;;;38;;Penacova
;;;Alvito;;;;;Barrancos
;;;Castelo de Vide;;;;;Macedo de Cavaleiros
;54;;Vila da Praia da Vitória;;;37;;Mirandela
;;;Penalva do Castelo;;;;;Oliveira do Bairro
;;;Seia;;;;;Tomar
;53;;Torres Vedras;;;36;;Velas
;;;Mesão Frio;;;;;Almodôvar
;;;Pinhel;;;;;Redondo
;52;;Viana do Castelo;;;35;;Sever do Vouga
;;;Aveiro;;;;;Golegã
;;;Mourão;;;;;Reguengos de Monsaraz
;51;;Sardoal;;;34;;Soure
;;;Amarante;;;;;Anadia
;;;Baião;;;;;Elvas
;50;;Fafe;;;33;;Palmela
;;;Castro Daire;;;;;Guimarães
;;;Vila de Rei;;;;;Penafiel
;49;;Vila Velha de Ródão;;;32;;Santarém
;;;;;;;;
;;;;;;;;
Percentis;;;Fator Dinamismo Relativo;;Percentis;;;Fator Dinamismo Relativo
;32;;;;;16;;
;;;Arronches;;;;;Castelo Branco
;;;Borba;;;;;Odivelas
;31;;Castelo de Paiva;;;15;;Santa Maria da Feira
;;;Espinho;;;;;Felgueiras
;;;Lousada;;;;;Montemor-o-Novo
;30;;Miranda do Corvo;;;;;Viana do Alentejo
;;;Alenquer;;;14;;Vila Nova de Famalicão
;;;Mação;;;;;Albergaria-a-Velha
;29;;Marco de Canaveses;;;;;Cartaxo
;;;Aljustrel;;;13;;Vale de Cambra
;;;Almada;;;;;Matosinhos
;;;Porto de Mós;;;;;Sines
;28;;São Roque do Pico;;;12;;Vila Viçosa
;;;Gavião;;;;;Almeirim
;;;Montijo;;;;;Braga
;27;;Seixal;;;11;;Monforte
;;;Ponta Delgada;;;;;Alpiarça
;;;Salvaterra de Magos;;;;;Guarda
;26;;Sintra;;;10;;Vizela
;;;Horta;;;;;Moura
;;;Proença-a-Nova;;;;;Santiago do Cacém
;25;;Serpa;;;9;;Santo Tirso
;;;Barcelos;;;;;Abrantes
;;;Chamusca;;;;;Marinha Grande
;24;;Covilhã;;;8;;Vila do Porto
;;;Alter do Chão;;;;;Amadora
;;;Cuba;;;;;Constância
;23;;Lagoa (R.A.A);;;7;;Torres Novas
;;;Bragança;;;;;Coimbra
;;;Leiria;;;;;Moita
;22;;Mangualde;;;6;;Trofa
;;;Avis;;;;;Barreiro
;;;Paços de Ferreira;;;;;Maia
;21;;Ribeira Grande;;;5;;Santa Cruz das Flores
;;;Lousã;;;;;Évora
;;;Rio Maior;;;;;Gondomar
;20;;Vila Real;;;4;;Oliveira de Azeméis
;;;Mora;;;;;Angra do Heroísmo
;;;Oliveira de Frades;;;;;Arruda dos Vinhos
;19;;Vila Nova da Barquinha;;;3;;Vendas Novas
;;;Benavente;;;;;Portalegre
;;;Condeixa-a-Nova;;;;;Valongo
;18;;Estarreja;;;2;;Vila Franca de Xira
;;;Águeda;;;;;Beja
;;;Ponte de Sôr;;;;;Castro Verde
;17;;Vila Nova de Gaia;;;1;;Sobral de Monte Agraço
;;;Estremoz;;;;;Campo Maior
;;;Fronteira;;;;;Entroncamento
;16;;Paredes;;;;;Oeiras
;;;;;;;;São João da Madeira
