X,Y
-7.45928853491375,37.345652660694434
-7.23179105733551,38.771850336605844
-8.54571376281178,39.309387093260874
-8.310806879566027,41.264660684732036
-8.232694967061754,38.438293661534594
-8.427905776277235,37.28005633211783
-7.230150062530029,40.06393465276521
-8.68006715787098,39.97041631960677
-7.5159861915240995,39.14923569074442
-7.660698276238282,39.32868421313527
-8.672137151004183,41.51424081041733
-6.928225585625306,41.65658663975623
-8.832505002294667,40.088552744911915
-7.536803286156513,38.74501456189254
-8.236717367557567,38.63112754015481
-8.380677147066162,38.20695467343965
-8.599258520671576,39.02674635600267
-7.49132955333932,41.62978847472143
-7.983071073253512,39.19561518019765
-8.767918191928793,37.58668727366731
-7.920668031699236,37.232054128311646
-7.926489153239501,37.615186533186915
-7.786835956088531,38.32162583528863
-8.282016053441676,37.857462538993424
-8.626461665728154,39.76475135210415
-8.034449995664627,39.28633066044316
-8.371730139064834,37.34234414372111
-8.638340094329969,40.89717420367941
-7.232877569431796,39.74198609975332
-8.314631388481068,41.25096865332712
-6.884024628080443,40.541590501104764
-8.15612035611187,38.752709779431555
-8.646507881022774,40.44791150559349
-8.434398110815806,38.38502511336921
-7.72839447904791,37.515018011235696
-8.353721418479122,37.10426935056401
-8.539450672673471,40.15161541295276
-8.192264616479324,41.969788464812254
-8.922527776307106,39.506973234155836
-7.14128379376692,40.97044896879366
-6.950385607662803,38.17583523915085
-8.753705664056792,38.325678688786134
-7.633297576083628,37.231475634282305
-6.697162659970104,41.42130811007014
-7.4963268835090275,38.22112272671027
-7.691628938425659,41.66545306256237
-8.587719980538697,38.113436312284584
-8.625413353499592,41.1439980050976
-7.888220188984661,39.59871620520783
-7.0516801863440115,40.83686446895471
-8.081243412524302,37.84404869613452
-8.776368986079984,40.16758999566028
-8.775272488381248,41.696057616262905
-7.199496981529876,40.322340042515314
-8.177503440320443,40.03652202645015
-7.859170534506234,39.6152181137556
-8.608506455442104,38.829612627356305
-7.34906156940351,38.67371382489655
-7.661165897982631,40.084117618969756
-8.728867243280465,37.82183926388241
-9.166328587250725,38.81971454212503
-7.9031498423488,38.220199526565246
-7.670820137434145,40.83772899162561
-7.520545138823696,38.993734982946954
-8.031354272599568,40.07977413138812
-8.161573207308052,41.778089054004425
-7.343922626784163,41.65501362443455
-7.8005926473065585,38.53280289153465
-7.024009514898353,40.44618637716496
-6.884925407572965,41.493370042432026
-6.383991022372097,41.49095099925857
-8.701661427411551,39.436461772943275
-7.211795005525971,41.22613656278976
-8.323487401614607,40.40768127754839
-8.982372456069456,38.69836126969741
-8.528655570205483,40.172316085240425
-8.635013027062307,40.961812458377935
-8.795213151347742,38.65898747421186
-8.11504256459385,37.291328579929385
-7.173800173589424,40.589711840431185
